,campus,room,seat
0,Palazzo Moro,Aula 0C,35
2,Palazzo Moro,Aula 0B,35
8,Palazzo Moro,Aula 0A,35
9,Palazzo Moro,Aula 0D,56
10,Palazzo Moro,Aula 1A,39
11,Palazzo Moro,Aula 1B,27
12,San Giobbe,Aula 10C,54
13,San Giobbe,Aula 9C,48
14,San Giobbe,Aula 10A,120
15,San Giobbe,Aula 11B,15
16,San Giobbe,Aula 4A,204
17,San Giobbe,Aula Magna Guido Cazzavillan,358
18,San Giobbe,Aula 7B,32
19,San Giobbe,Aula 8A,150
20,San Giobbe,Aula 10B,96
21,San Giobbe,Aula 2A,158
22,San Giobbe,Aula 2B,66
23,San Giobbe,Aula 3A,128
24,San Giobbe,Aula 3B,66
25,San Giobbe,Aula 5A,180
26,San Giobbe,Aula 6A,220
27,San Giobbe,Aula 7A,178
28,San Giobbe,Aula 8B,44
29,San Giobbe,Aula 9A,142
30,San Giobbe,Aula 9B,108
