,Teachings,Period,Professor,Course,Anno,Sede,CAMPUS,PDS_COD,room_size,Partition,k,grappolo,qualifica,k,Course_ID
0,LETTERATURA GIAPPONESE 3_LT40_M-Z,II Semestre,5592469,LT40,2,VENEZIA,Polo didattico San Basilio (Architettura temporanea),G,5,M-Z,3,a scelta,Professoressa Ordinaria,,LT40_G2
1,LETTERATURA GIAPPONESE 3_LT40_A-L,II Semestre,5592469,LT40,2,VENEZIA,Polo didattico San Basilio (Architettura temporanea),G,5,A-L,3,a scelta,Professoressa Ordinaria,,LT40_G2
2,HISTORIA DE AMÉRICA_LM3,II Semestre,5590982,LM3,1,VENEZIA,Ca' Bernardo,C,3,NO,3,a scelta,Professore Ordinario,,LM3_C1
3,STORIA E ISTITUZIONI DELL'AMERICA LATINA_FM7,II Semestre,5590982,FM7,3,VENEZIA,Ca' Bernardo,GGG,3,NO,3,a scelta,Professore Ordinario,,FM7_GGG3
4,STORIA E ISTITUZIONI DELL'AMERICA LATINA_LM60,II Semestre,5590982,LM60,1,,Ca' Bernardo,GGG,3,NO,3,a scelta,Professore Ordinario,,LM60_GGG1
5,HISTÓRIA LUSO-BRASILEIRA_LM60,I Semestre,5590982,LM60,1,,Ca' Dolfin - Saoneria,GGG,3,NO,3,a scelta,Professore Ordinario,,LM60_GGG1
6,HISTÓRIA LUSO-BRASILEIRA_LM3,I Semestre,5590982,LM3,1,,Ca' Dolfin - Saoneria,I00,3,NO,3,a scelta,Professore Ordinario,,LM3_I001
7,HISTÓRIA DAS CULTURAS E SOCIEDADES LUSÓFONAS_LM3,I Semestre,5590982,LM3,2,,Ca' Dolfin - Saoneria,C,3,NO,3,a scelta,Professore Ordinario,,LM3_C2
8,"MIGRAZIONI, FRONTIERE, IDENTITA'_LM60",I Semestre,5590982,LM60,1,,Polo didattico San Basilio (Magazzino 5),GGG,5,NO,3,a scelta,Professore Ordinario,,LM60_GGG1
9,STORIA DEL MONDO IBERICO E IBEROAMERICANO_LT10,II Semestre,5590982,LT10,2,,Polo didattico San Basilio (Magazzino 5),P,5,NO,3,a scelta,Professore Ordinario,,LT10_P2
10,ARCHITETTURA DEL PAESAGGIO_EM3,4° Periodo,25174719,EM3,1,,San Sebastiano,E00,5,NO,3,a scelta,Docente a contratto,,EM3_E001
11,CRITICAL ANIMAL STUDIES_LM10,II Semestre,23832558,LM10,1,VENEZIA,Palazzo Moro,GGG,3,NO,3,a scelta,Professoressa Associata,,LM10_GGG1
12,SOCIOLOGIA DELL'ARTE_EM3,4° Periodo,23832558,EM3,2,,San Sebastiano,E00,5,NO,3,a scelta,Professoressa Associata,,EM3_E002
13,SOCIOLOGY OF ART CONSUMPTION_EM3,3° Periodo,23832558,EM3,2,,San Sebastiano,I00,5,NO,3,a scelta,Professoressa Associata,,EM3_I002
14,LABORATORIO DI ARTE E INCLUSIONE SOCIALE_FT4,3° Periodo,23832558,FT4,1,,San Sebastiano,GGG,5,NO,3,a scelta,Professoressa Associata,,FT4_GGG1
15,SICUREZZA E SALUTE NELLE ATTIVITÀ DIDATTICHE E DI RICERCA_CT7_Classe 2,I Semestre,5590826,CT7,1,,Campus scientifico via Torino (edificio Delta),SBN,6,Classe 2,3,Obbligatorio,Professoressa Associata,,CT7_SBN1
16,INDUSTRIAL BIOTECHNOLOGY_CM7,II Semestre,5590826,CM7,1,VENEZIA,Campus scientifico via Torino (edificio Delta),CM7B,2,NO,3,Obbligatorio,Professoressa Associata,,CM7_CM7B1
17,POLIMERI E APPLICAZIONI INDUSTRIALI_CT7,II Semestre,5590826,CT7,2,,Campus scientifico via Torino (edificio Delta),SBN,6,NO,3,Obbligatorio,Professoressa Associata,,CT7_SBN2
18,POLIMERI PER APPLICAZIONI NELL'AMBITO DEI BENI CULTURALI_CT60,I Semestre,5590826,CT60,1,,Campus scientifico via Torino (edificio Zeta),GGG,3,NO,3,Obbligatorio,Professoressa Associata,,CT60_GGG1
19,SICUREZZA E SALUTE NELLE ATTIVITÀ DIDATTICHE E DI RICERCA_CT5_Classe 3,I Semestre,5590886,CT5,1,VENEZIA,Campus scientifico via Torino (edificio Zeta),GGG,4,Classe 3,3,Obbligatorio,Professore Ordinario,,CT5_GGG1
20,CHIMICA ANALITICA E LABORATORIO - ATTIVITA' PRATICA DI LABORATORIO_CT5_Classe 3,I Semestre,5590886,CT5,2,VENEZIA,Campus scientifico via Torino (edificio Beta),GGG,4,Classe 3,3,Obbligatorio,Professore Ordinario,,CT5_GGG2
21,METODOLOGIE CHIMICO-ANALITICHE APPLICATE ALL'AMBIENTE_CM5,II Semestre,5590886,CM5,1,VENEZIA,Campus scientifico via Torino (edificio Delta),MON,2,NO,3,Obbligatorio,Professore Ordinario,,CM5_MON1
22,SICUREZZA E SALUTE NELLE ATTIVITÀ DIDATTICHE E DI RICERCA_CT5_Classe 2,I Semestre,5590912,CT5,1,VENEZIA,Campus scientifico via Torino (edificio Zeta),GGG,3,Classe 2,3,Obbligatorio,Professoressa Associata,,CT5_GGG1
23,TECNOLOGIE DI RISANAMENTO E BIORISANAMENTO DELLE MATRICI AMBIENTALI_CM10,II Semestre,5590912,CM10,1,TREVISO,Treviso - Palazzo San Paolo,GGG,1,NO,3,Obbligatorio,Professoressa Associata,,CM10_GGG1
24,TECNOLOGIE DI BONIFICA DI SITI CONTAMINATI_CM5,I Semestre,5590912,CM5,2,VENEZIA,Campus scientifico via Torino (edificio Delta),MON,2,NO,3,Obbligatorio,Professoressa Associata,,CM5_MON2
25,SICUREZZA E SALUTE NELLE ATTIVITÀ DIDATTICHE E DI RICERCA_CT7_Classe 1,I Semestre,5592325,CT7,1,,Campus scientifico via Torino (edificio Zeta),SBN,3,Classe 1,3,Obbligatorio,Professore Associato,,CT7_SBN1
26,CHIMICA ORGANICA 1 E LABORATORIO - MOD.2_CT7,II Semestre,5592325,CT7,1,,Campus scientifico via Torino (edificio Delta),SBN,6,NO,3,Obbligatorio,Professore Associato,,CT7_SBN1
27,LABORATORIO - CHIMICA ORGANICA 1 - MOD.2_CT7_Classe 1,II Semestre,5592325,CT7,1,,Campus scientifico via Torino (edificio Beta),SBN,5,Classe 1,1,Obbligatorio,Professore Associato,,CT7_SBN1
28,LABORATORIO - CHIMICA ORGANICA 1 - MOD.2_CT7_Classe 2,II Semestre,5592325,CT7,1,,Campus scientifico via Torino (edificio Beta),SBN,5,Classe 2,1,Obbligatorio,Professore Associato,,CT7_SBN1
29,CHIMICA ORGANICA 1 E LABORATORIO - MOD.1_CT7,II Semestre,5592325,CT7,1,,Campus scientifico via Torino (edificio Delta),SBN,6,NO,3,Obbligatorio,Professore Associato,,CT7_SBN1
30,SICUREZZA E SALUTE NELLE ATTIVITÀ DIDATTICHE E DI RICERCA_CT60_Classe 2,I Semestre,5590817,CT60,1,,Campus scientifico via Torino (edificio Delta),GGG,6,Classe 2,3,Obbligatorio,Ricercatrice Universitaria,,CT60_GGG1
31,RESTORATION_EM3,1° Periodo,5590817,EM3,1,,San Sebastiano,I00,5,NO,3,Obbligatorio,Ricercatrice Universitaria,,EM3_I001
32,LABORATORIO DI SCIENZE DEI BENI CULTURALI_CT60,II Semestre,5590817,CT60,2,,Campus scientifico via Torino (edificio Epsilon),GGG,1,NO,3,Obbligatorio,Ricercatrice Universitaria,,CT60_GGG2
33,SICUREZZA E SALUTE NELLE ATTIVITÀ DIDATTICHE E DI RICERCA_CT5_Classe 1,I Semestre,5590086,CT5,1,VENEZIA,Campus scientifico via Torino (edificio Delta),GGG,5,Classe 1,3,Obbligatorio,Professore Associato,,CT5_GGG1
34,SICUREZZA E SALUTE NELLE ATTIVITÀ DIDATTICHE E DI RICERCA_CT5_Classe 4,II Semestre,5590086,CT5,1,VENEZIA,Campus scientifico via Torino (edificio Delta),GGG,7,Classe 4,3,Obbligatorio,Professore Associato,,CT5_GGG1
35,CHIMICA ANALITICA E LABORATORIO - MOD. LABORATORIO_CT5,I Semestre,5590086,CT5,2,VENEZIA,Campus scientifico via Torino (edificio Delta),GGG,6,NO,1,Obbligatorio,Professore Associato,,CT5_GGG2
36,CHIMICA ANALITICA E LABORATORIO - ATTIVITA' PRATICA DI LABORATORIO_CT5_Classe 2,I Semestre,5590086,CT5,2,VENEZIA,Campus scientifico via Torino (edificio Beta),GGG,4,Classe 2,3,Obbligatorio,Professore Associato,,CT5_GGG2
37,CHIMICA ANALITICA E LABORATORIO - ATTIVITA' PRATICA DI LABORATORIO_CT5_Classe 1,I Semestre,5590086,CT5,2,VENEZIA,Campus scientifico via Torino (edificio Beta),GGG,4,Classe 1,3,Obbligatorio,Professore Associato,,CT5_GGG2
38,CHEMIOMETRIA_CM10,II Semestre,5590086,CM10,1,VENEZIA,Campus scientifico via Torino (edificio Delta),GGG,2,NO,3,Obbligatorio,Professore Associato,,CM10_GGG1
39,ANALISI MULTIVARIATA DI DATI IN MATRICI AMBIENTALI_CM5,II Semestre,5590086,CM5,1,VENEZIA,Campus scientifico via Torino (edificio Zeta),CAP,3,NO,3,Obbligatorio,Professore Associato,,CM5_CAP1
40,LINGUISTICA COMPARATA DELL'AREA TURCO IRANICO CAUCASICA_LT40,I Semestre,5592050,LT40,3,VENEZIA,San Sebastiano,VMO,2,NO,3,a scelta,Professore Associato,,LT40_VMO3
41,STORIA INTELLETTUALE E MODELLI TESTUALI (TURCO)_LM20,I Semestre,5592050,LM20,2,VENEZIA,Palazzo Moro,VMO,3,NO,3,a scelta,Professore Associato,,LM20_VMO2
42,STORIA INTELLETTUALE E MODELLI TESTUALI (TURCO)_FM10,I Semestre,5592050,FM10,3,VENEZIA,Palazzo Moro,O,3,NO,3,a scelta,Professore Associato,,FM10_O3
43,LINGUA TURCA 2_LT40,I Semestre,5592050,LT40,3,VENEZIA,Rio Nuovo,SCI,3,NO,3,a scelta,Professore Associato,,LT40_SCI3
44,LETTERATURA TURCA 1_LT40,I Semestre,5592050,LT40,2,VENEZIA,Rio Nuovo,SCI,4,NO,3,a scelta,Professore Associato,,LT40_SCI2
45,NARRAZIONI E DINAMICHE CULTURALI (TURCO)_LM80,I Semestre,5592050,LM80,2,VENEZIA,Palazzo Moro,GGG,3,NO,3,a scelta,Professore Associato,,LM80_GGG2
46,NARRAZIONI E DINAMICHE CULTURALI (TURCO)_LM20,I Semestre,5592050,LM20,1,VENEZIA,Palazzo Moro,VMO,3,NO,3,a scelta,Professore Associato,,LM20_VMO1
47,NARRAZIONI E DINAMICHE CULTURALI (TURCO)_FM10,I Semestre,5592050,FM10,3,VENEZIA,Palazzo Moro,ASIA,3,NO,3,a scelta,Professore Associato,,FM10_ASIA3
48,LINGUA TURCA 3_LT40,I Semestre,5592050,LT40,3,VENEZIA,Ca' Dolfin - Saoneria,VMO,3,NO,3,a scelta,Professore Associato,,LT40_VMO3
49,LINGUA CINESE 1 MOD. 1_LT40_M-R,I Semestre,25786882,LT40,2,VENEZIA,Santa Marta,SCI,8,M-R,3,Obbligatorio,Professoressa Associata,,LT40_SCI2
50,LINGUA CINESE 1 MOD. 1_LT40_Tutti,I Semestre,25786882,LT40,1,VENEZIA,Aula Barbarigo,SEA,5,Tutti,3,Obbligatorio,Professoressa Associata,,LT40_SEA1
51,LINGUA CINESE 1 MOD. 1_LT40_S-Z,I Semestre,25786882,LT40,1,VENEZIA,Aula Barbarigo,C,5,S-Z,3,Obbligatorio,Professoressa Associata,,LT40_C1
52,LINGUA CINESE 2 MOD.1_LT40_D-L,I Semestre,25786882,LT40,2,VENEZIA,Polo didattico San Basilio (Magazzino 5),C,5,D-L,3,a scelta,Professoressa Associata,,LT40_C2
