,Unnamed: 0,campus,room,seat,room_size
84,84,Palazzo Moro,Aula 0A,35,3
85,85,Palazzo Moro,Aula 0B,35,3
86,86,Palazzo Moro,Aula 0C,35,3
87,87,Palazzo Moro,Aula 0D,56,4
88,88,Palazzo Moro,Aula 1A,39,3
89,89,Palazzo Moro,Aula 1B,27,2
126,126,San Giobbe,Aula 10A,120,6
127,127,San Giobbe,Aula 10B,96,5
128,128,San Giobbe,Aula 10C,54,4
129,129,San Giobbe,Aula 11B,15,1
130,130,San Giobbe,Aula 2A,158,7
131,131,San Giobbe,Aula 2B,66,4
132,132,San Giobbe,Aula 3A,128,6
133,133,San Giobbe,Aula 3B,66,4
134,134,San Giobbe,Aula 4A,204,8
135,135,San Giobbe,Aula 5A,180,7
136,136,San Giobbe,Aula 6A,220,8
137,137,San Giobbe,Aula 7A,178,7
138,138,San Giobbe,Aula 7B,32,2
139,139,San Giobbe,Aula 8A,150,7
140,140,San Giobbe,Aula 8B,44,3
141,141,San Giobbe,Aula 9A,142,6
142,142,San Giobbe,Aula 9B,108,5
143,143,San Giobbe,Aula 9C,48,3
144,144,San Giobbe,Aula Magna Guido Cazzavillan,358,8
169,169,Treviso - Palazzo San Leonardo,Aula B,96,5
170,170,Treviso - Palazzo San Leonardo,Aula D,140,6
171,171,Treviso - Palazzo San Leonardo,Aula F,406,8
172,172,Treviso - Palazzo San Leonardo,Aula G,66,4
173,173,Treviso - Palazzo San Leonardo,Aula H,302,8
174,174,Treviso - Palazzo San Leonardo,Aula Magna,343,8
175,175,Treviso - Palazzo San Leonardo,Seminario Wright,20,1
176,176,Treviso - Palazzo San Paolo,Aula 1,70,4
177,177,Treviso - Palazzo San Paolo,Aula 10,44,3
178,178,Treviso - Palazzo San Paolo,Aula 11,60,4
179,179,Treviso - Palazzo San Paolo,Aula 12,72,5
180,180,Treviso - Palazzo San Paolo,Aula 2,70,4
181,181,Treviso - Palazzo San Paolo,Aula 3,70,4
182,182,Treviso - Palazzo San Paolo,Aula 4,168,7
183,183,Treviso - Palazzo San Paolo,Aula 5,31,2
184,184,Treviso - Palazzo San Paolo,Aula 6,33,2
185,185,Treviso - Palazzo San Paolo,Aula 7,168,7
186,186,Treviso - Palazzo San Paolo,Aula 8,20,1
187,187,Treviso - Palazzo San Paolo,Aula 9,30,2
188,188,Treviso - Palazzo San Paolo,Aula Accoglienza,70,4
189,189,Treviso - Palazzo San Paolo,Aula studio 'Nicchie',20,1
190,190,Treviso - Palazzo San Paolo,Laboratorio informatico,42,3
191,191,Treviso - Palazzo San Paolo,Spazio 25,30,2
